armeabi-v7a CtsAppExitTestCases		
| [[VtsHalTvInputV1_0TargetTest]]                  | armeabi-v7a | 6           |		
| [[VtsHalWeaverV1_0TargetTest]]                   | armeabi-v7a | 0           |		
| [[VtsHalWifiApV1_0TargetTest]]                   | armeabi-v7a | 8           |		
| [[VtsHalWifiApV1_4TargetTest]]                   | armeabi-v7a | 2           |		
| [[VtsHalWifiApV1_5TargetTest]]                   | armeabi-v7a | 5           |		
| [[VtsHalWifiHostapdV1_0TargetTest]]              | armeabi-v7a | 10          |		
| [[VtsHalWifiHostapdV1_1TargetTest]]              | armeabi-v7a | 11          |		
| [[VtsHalWifiHostapdV1_2TargetTest]]              | armeabi-v7a | 17          |		
| [[VtsHalWifiHostapdV1_3TargetTest]]              | armeabi-v7a | 17          |		
| [[VtsHalWifiKeystoreV1_0TargetTest]]             | armeabi-v7a | 15          |		
| [[VtsHalWifiNanV1_0TargetTest]]                  | armeabi-v7a | 7           |		
| [[VtsHalWifiNanV1_2TargetTest]]                  | armeabi-v7a | 5           |		
| [[VtsHalWifiNanV1_4TargetTest]]                  | armeabi-v7a | 5           |		
| [[VtsHalWifiNanV1_5TargetTest]]                  | armeabi-v7a | 6           |		
| [[VtsHalWifiOffloadV1_0TargetTest]]              | armeabi-v7a | 0           |		
| [[VtsHalWifiRttV1_4TargetTest]]                  | armeabi-v7a | 6           |		
| [[VtsHalWifiSupplicantP2pV1_0TargetTest]]        | armeabi-v7a | 37          |		
| [[VtsHalWifiSupplicantP2pV1_2TargetTest]]        | armeabi-v7a | 5           |		
| [[VtsHalWifiSupplicantP2pV1_4TargetTest]]        | armeabi-v7a | 3           |		
| [[VtsHalWifiSupplicantV1_0TargetTest]]           | armeabi-v7a | 85          |		
| [[VtsHalWifiSupplicantV1_1TargetTest]]           | armeabi-v7a | 9           |		
| [[VtsHalWifiSupplicantV1_2TargetTest]]           | armeabi-v7a | 13          |		
| [[VtsHalWifiSupplicantV1_3TargetTest]]           | armeabi-v7a | 18          |		
| [[VtsHalWifiSupplicantV1_4TargetTest]]           | armeabi-v7a | 8           |		
| [[VtsHalWifiV1_0TargetTest]]                     | armeabi-v7a | 36          |		
| [[VtsHalWifiV1_1TargetTest]]                     | armeabi-v7a | 2           |		
| [[VtsHalWifiV1_2TargetTest]]                     | armeabi-v7a | 4           |		
| [[VtsHalWifiV1_3TargetTest]]                     | armeabi-v7a | 5           |		
| [[VtsHalWifiV1_4TargetTest]]                     | armeabi-v7a | 1           |		
