| Module                                           | ABI         | Total Tests |
| [[VtsHalMediaC2V1_0TargetAudioEncTest]]          | armeabi-v7a | 45          |
| [[VtsHalMediaC2V1_0TargetComponentTest]]         | armeabi-v7a | 528         |
| [[VtsHalMediaC2V1_0TargetMasterTest]]            | armeabi-v7a | 2           |
| [[VtsHalMediaC2V1_0TargetVideoDecTest]]          | armeabi-v7a | 380         |
| [[VtsHalMediaC2V1_0TargetVideoEncTest]]          | armeabi-v7a | 171         |
| [[VtsHalMediaOmxV1_0TargetAudioDecTest]]         | armeabi-v7a | 0           |
| [[VtsHalMediaOmxV1_0TargetAudioEncTest]]         | armeabi-v7a | 0           |
| [[VtsHalMediaOmxV1_0TargetComponentTest]]        | armeabi-v7a | 0           |
| [[VtsHalMediaOmxV1_0TargetStoreTest]]            | armeabi-v7a | 1           |
| [[VtsHalMediaOmxV1_0TargetVideoDecTest]]         | armeabi-v7a | 0           |
| [[VtsHalMediaOmxV1_0TargetVideoEncTest]]         | armeabi-v7a | 0           |
| [[VtsHalMemtrackTargetTest]]                     | armeabi-v7a | 4           |
| [[VtsHalMemtrackV1_0TargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalNSTargetTest]]                           | armeabi-v7a | 0           |
| [[VtsHalNetNetdV1TargetTest]]                    | armeabi-v7a | 3           |
| [[VtsHalNetNetdV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalNetNetdV1_1TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalNetlinkInterceptorV1_0Test]]             | armeabi-v7a | 0           |
| [[VtsHalNeuralnetworksTargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalNeuralnetworksV1_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalNeuralnetworksV1_1TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalNeuralnetworksV1_2TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalNeuralnetworksV1_3TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalNfcV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalNfcV1_1TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalNfcV1_2TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalOccupantAwarenessV1_0TargetTest]]        | armeabi-v7a | 0           |
| [[VtsHalOemLockTargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalOemLockV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalOmapiSeAccessControlTestCases]]          | armeabi-v7a | 0           |
| [[VtsHalOmapiSeServiceV1_TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalPowerStatsTargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalPowerStatsV1_0TargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalPowerTargetTest]]                        | armeabi-v7a | 11          |
| [[VtsHalPowerV1_0TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalPowerV1_1TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalPowerV1_2TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalPowerV1_3TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalPresetReverbTargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalRadioConfigV1_0TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalRadioConfigV1_1TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalRadioConfigV1_2TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalRadioConfigV1_3TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalRadioTargetTest]]                        | armeabi-v7a | 0           |
| [[VtsHalRadioV1_0TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRadioV1_1TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRadioV1_2TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRadioV1_3TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRadioV1_4TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRadioV1_5TargetTest]]                    | armeabi-v7a | 0           |
